id,payment_id,transaction_type,charge_id,invoice_id,transaction_id,payment_method,payment_time,total_price,tax,subtotal_price,charge_items,tax_lines,installment_months,currency,address
1ZDUzAx1cN3,1ZDUzAx1cN3,CHARGE,1XZMMEC95q3-01,1XZMMEC95q3-2024-12,gid://shopify/OrderTransaction/7333654888726,PAYPAL,2024-08-28 09:44:48.000000,6.2000,0.0000,6.2000,"[{""chargeItemType"":""RENTAL_FEE"",""totalPrice"":14.69,""priceDetail"":{""discountPrice"":1.63,""itemPrice"":16.32,""currency"":""USD"",""prepaidAmount"":0.0,""promotions"":[{""promotionId"":""1SUGW59ZHC0"",""promotionName"":""프로모션2"",""promotionDescription"":""10% Coupon discount "",""startDate"":""2023-09-20T11:13:12.646Z"",""endDate"":""2024-12-20T11:13:12.646Z"",""discountPrice"":""2.40"",""promotion"":{""promotionCycles"":[""1"",""2"",""3"",""4"",""5"",""6""],""promotionType"":""DISCOUNT"",""discount"":{""discountType"":""PERCENTAGE"",""amount"":0.0,""rate"":10.0}}}]},""quantity"":1,""isTaxExempt"":false,""createTime"":""2024-12-09T02:17:00.882474Z"",""chargeItemId"":""1ZB0w2fEFrq-01""},{""chargeItemType"":""LATE_FEE"",""totalPrice"":5.0,""priceDetail"":{""discountPrice"":0.0,""itemPrice"":5.0,""currency"":""USD"",""prepaidAmount"":0.0},""quantity"":1,""isTaxExempt"":false,""createTime"":""2024-12-09T07:53:53.623257Z"",""chargeItemId"":""1XZMMEC95q3-01-1ZBOzgoJmNy""}]",[],,USD,"{""firstName"" : ""Dao"", ""lastName"" : ""Nguyen"", ""email"" : ""t2404181@partner.coway.com"", ""phone"" : ""6028672690"", ""state"" : ""Texas"", ""city"" : ""Wylie"", ""address1"" : ""Ha Noi"", ""address2"" : ""American"", ""zipcode"" : ""75098""}"
1ZLbXyJsj72,1ZLbXyJsj72,CHARGE,0105433200053-0101-N0000A-01,0105433200053-0101-N0000A-2024-12,gid://shopify/OrderTransaction/73336548887261,PAYPAL,2024-08-28 09:44:48.000000,6.2000,0.0000,6.2000,"[{""chargeItemType"":""RENTAL_FEE"",""totalPrice"":28.8,""priceDetail"":{""discountPrice"":3.2,""itemPrice"":32.0,""currency"":""USD"",""prepaidAmount"":0.0,""promotions"":[{""promotionId"":""1SUGW59ZHC0"",""promotionName"":""프로모션2"",""promotionDescription"":""10% Coupon discount "",""startDate"":""2023-09-20T11:13:12.646Z"",""endDate"":""2024-12-20T11:13:12.646Z"",""discountPrice"":""3.20"",""promotion"":{""promotionCycles"":[""1"",""2"",""3"",""4"",""5"",""6""],""promotionType"":""DISCOUNT"",""discount"":{""discountType"":""PERCENTAGE"",""amount"":0.0,""rate"":10.0}}}]},""quantity"":1,""isTaxExempt"":false,""createTime"":""2024-12-09T02:17:12.433243Z"",""chargeItemId"":""1ZB0wtY0pvO-02""}]",[],,USD,"{""firstName"" : ""Dao"", ""lastName"" : ""Nguyen"", ""email"" : ""t2404181@partner.coway.com"", ""phone"" : ""6028672690"", ""state"" : ""Texas"", ""city"" : ""Wylie"", ""address1"" : ""Ha Noi"", ""address2"" : ""American"", ""zipcode"" : ""75098""}"
1ZLe93UHBxF,1ZLe93UHBxF,CHARGE,1XZooSfJuCn-01,1XZooSfJuCn-2024-12,gid://shopify/OrderTransaction/6864971432121,CREDIT_CARD,2024-10-31 09:12:23.000000,31.6400,0.0000,31.6400,"[{""chargeItemType"":""RENTAL_FEE"",""totalPrice"":0.72,""priceDetail"":{""discountPrice"":0.0,""itemPrice"":0.72,""currency"":""USD"",""prepaidAmount"":0.0,""promotions"":[]},""quantity"":1,""isTaxExempt"":false,""createTime"":""2024-12-09T02:16:55.364972Z"",""chargeItemId"":""1ZB0vdOe50c-01""},{""chargeItemType"":""LATE_FEE"",""totalPrice"":5.0,""priceDetail"":{""discountPrice"":0.0,""itemPrice"":5.0,""currency"":""USD"",""prepaidAmount"":0.0},""quantity"":1,""isTaxExempt"":false,""createTime"":""2024-12-09T07:53:53.848661Z"",""chargeItemId"":""1XZooSfJuCn-01-1ZBOzgoJmO8""}]",[],,USD,"{""firstName"" : ""NTQ"", ""lastName"" : ""Test"", ""email"" : ""t2404181+1@partner.coway.com"", ""phone"" : ""+16029876543"", ""state"" : ""Texas"", ""city"" : ""Houston"", ""address1"" : ""3333 Raleigh St"", ""address2"" : ""Houston, TX 77021, USA"", ""zipcode"" : ""77021""}"
1ZLesujvxNX,1ZLesujvxNX,CHARGE,1XZooSfJuCn-02,1XZooSfJuCn-2024-12,gid://shopify/OrderTransaction/6864971432121,CREDIT_CARD,2024-10-31 09:12:23.000000,31.6400,0.0000,31.6400,"[{""chargeItemType"":""RENTAL_FEE"",""totalPrice"":24.0,""priceDetail"":{""discountPrice"":0.0,""itemPrice"":24.0,""currency"":""USD"",""prepaidAmount"":0.0,""promotions"":[]},""quantity"":1,""isTaxExempt"":false,""createTime"":""2024-12-09T02:16:55.365041Z"",""chargeItemId"":""1ZB0vdOe50e-02""}]",[],,USD,"{""firstName"" : ""NTQ"", ""lastName"" : ""Test"", ""email"" : ""t2404181+1@partner.coway.com"", ""phone"" : ""+16029876543"", ""state"" : ""Texas"", ""city"" : ""Houston"", ""address1"" : ""3333 Raleigh St"", ""address2"" : ""Houston, TX 77021, USA"", ""zipcode"" : ""77021""}"
1ZN03hi8r4o,1ZN03hi8r4o,CHARGE,1XZMMKYHFM8-01,1XZMMKYHFM8-2024-12,gid://shopify/OrderTransaction/6864971432121,CREDIT_CARD,2024-10-31 09:12:23.000000,19.6900,0.0000,19.6900,"[{""chargeItemType"":""RENTAL_FEE"",""totalPrice"":14.69,""priceDetail"":{""discountPrice"":1.63,""itemPrice"":16.32,""currency"":""USD"",""prepaidAmount"":0.0,""promotions"":[{""promotionId"":""1SUGW59ZHC0"",""promotionName"":""프로모션2"",""promotionDescription"":""10% Coupon discount "",""startDate"":""2023-09-20T11:13:12.646Z"",""endDate"":""2024-12-20T11:13:12.646Z"",""discountPrice"":""2.40"",""promotion"":{""promotionCycles"":[""1"",""2"",""3"",""4"",""5"",""6""],""promotionType"":""DISCOUNT"",""discount"":{""discountType"":""PERCENTAGE"",""amount"":0.0,""rate"":10.0}}}]},""quantity"":1,""isTaxExempt"":false,""chargeItemId"":""1ZB0xKsc6JN-01""},{""chargeItemType"":""LATE_FEE"",""totalPrice"":5.0,""priceDetail"":{""discountPrice"":0.0,""itemPrice"":5.0,""currency"":""USD"",""prepaidAmount"":0.0},""quantity"":1,""isTaxExempt"":false,""chargeItemId"":""1XZMMKYHFM8-01-1ZBOzgoJmO2""}]",[],,USD,"{""firstName"" : ""NTQ"", ""lastName"" : ""Test"", ""email"" : ""t2404181+1@partner.coway.com"", ""phone"" : ""+16029876543"", ""state"" : ""Texas"", ""city"" : ""Houston"", ""address1"" : ""3333 Raleigh St"", ""address2"" : ""Houston, TX 77021, USA"", ""zipcode"" : ""77021""}"
1ZONHaWi9rB,1ZONHaWi9rB,CHARGE,1XZPDTySHbd-01,1XZPDTySHbd-2024-12,gid://shopify/OrderTransaction/6864971432121,CREDIT_CARD,2024-10-31 09:12:23.000000,41.7200,0.0000,41.7200,"[{""chargeItemType"":""RENTAL_FEE"",""totalPrice"":36.72,""priceDetail"":{""discountPrice"":4.08,""itemPrice"":40.8,""currency"":""USD"",""prepaidAmount"":0.0,""promotions"":[{""promotionId"":""1SUGW59ZHC0"",""promotionName"":""프로모션2"",""promotionDescription"":""10% Coupon discount "",""startDate"":""2023-09-20T11:13:12.646Z"",""endDate"":""2024-12-20T11:13:12.646Z"",""discountPrice"":""6.00"",""promotion"":{""promotionCycles"":[""1"",""2"",""3"",""4"",""5"",""6""],""promotionType"":""DISCOUNT"",""discount"":{""discountType"":""PERCENTAGE"",""amount"":0.0,""rate"":10.0}}}]},""quantity"":1,""isTaxExempt"":false,""chargeItemId"":""1ZB0wKSHTmR-01""},{""chargeItemType"":""LATE_FEE"",""totalPrice"":5.0,""priceDetail"":{""discountPrice"":0.0,""itemPrice"":5.0,""currency"":""USD"",""prepaidAmount"":0.0},""quantity"":1,""isTaxExempt"":true,""chargeItemId"":""1ZB5vP3ugOC-01""}]",[],,USD,"{""firstName"" : ""NTQ"", ""lastName"" : ""Test"", ""email"" : ""t2404181+1@partner.coway.com"", ""phone"" : ""+16029876543"", ""state"" : ""Texas"", ""city"" : ""Houston"", ""address1"" : ""3333 Raleigh St"", ""address2"" : ""Houston, TX 77021, USA"", ""zipcode"" : ""77021""}"
1ZOOzELonXm,1ZOOzELonXm,CHARGE,1XZPDTySHbd-02,1XZPDTySHbd-2024-12,gid://shopify/OrderTransaction/6864971432121,CREDIT_CARD,2024-10-31 09:12:23.000000,54.0000,0.0000,54.0000,"[{""chargeItemType"":""RENTAL_FEE"",""totalPrice"":54.0,""priceDetail"":{""discountPrice"":6.0,""itemPrice"":60.0,""currency"":""USD"",""prepaidAmount"":0.0,""promotions"":[{""promotionId"":""1SUGW59ZHC0"",""promotionName"":""프로모션2"",""promotionDescription"":""10% Coupon discount "",""startDate"":""2023-09-20T11:13:12.646Z"",""endDate"":""2024-12-20T11:13:12.646Z"",""discountPrice"":""6.00"",""promotion"":{""promotionCycles"":[""1"",""2"",""3"",""4"",""5"",""6""],""promotionType"":""DISCOUNT"",""discount"":{""discountType"":""PERCENTAGE"",""amount"":0.0,""rate"":10.0}}}]},""quantity"":1,""isTaxExempt"":false,""chargeItemId"":""1ZB0wKSHTmT-02""}]",[],,USD,"{""firstName"" : ""NTQ"", ""lastName"" : ""Test"", ""email"" : ""t2404181+1@partner.coway.com"", ""phone"" : ""+16029876543"", ""state"" : ""Texas"", ""city"" : ""Houston"", ""address1"" : ""3333 Raleigh St"", ""address2"" : ""Houston, TX 77021, USA"", ""zipcode"" : ""77021""}"
1ZyovY1Udrm,1ZyovY1Udrm,CHARGE,0105431900067-0401-70000A-01,0105431900067-0401-70000A-2025-01,7109307629784,CREDIT_CARD,2025-01-07 07:55:26.000000,19.3100,0.0000,19.3100,"[{""chargeItemType"":""RENTAL_FEE"",""totalPrice"":14.31,""priceDetail"":{""discountPrice"":0.0,""itemPrice"":14.31,""currency"":""USD"",""prepaidAmount"":0.0,""promotions"":[]},""quantity"":1,""isTaxExempt"":false,""chargeItemId"":""1ZB5poEzPVw-01""},{""chargeItemType"":""LATE_FEE"",""totalPrice"":5.0,""priceDetail"":{""discountPrice"":0.0,""itemPrice"":5.0,""currency"":""USD"",""prepaidAmount"":0.0},""quantity"":1,""isTaxExempt"":false,""chargeItemId"":""0105431900067-0401-70000A-01-1Zp01eS90Mi""}]",[],,USD,"{""firstName"" : ""fd"", ""lastName"" : ""dfd"", ""email"" : ""tung.nguyen16@ntq-solution.com.vn"", ""phone"" : ""6024213544"", ""state"" : ""Texas"", ""city"" : ""Houston"", ""address1"" : ""432432432"", ""address2"" : ""12345"", ""zipcode"" : ""77021""}"
1a3rmTv20vI,1a3rmTv20vI,CHARGE,1XZWwW7KqeI-03,1XZWwW7KqeI-2025-01,6960202154169,CREDIT_CARD,2024-12-31 02:53:02.000000,54.5100,0.5100,54.0000,"[{""chargeItemType"":""RENTAL_FEE"",""totalPrice"":44.06,""priceDetail"":{""discountPrice"":4.9,""itemPrice"":48.96,""currency"":""USD"",""prepaidAmount"":0.0,""promotions"":[{""promotionId"":""1SUGW59ZHC0"",""promotionName"":""프로모션2"",""promotionDescription"":""10% Coupon discount "",""startDate"":""2023-09-20T11:13:12.646Z"",""endDate"":""2024-12-20T11:13:12.646Z"",""discountPrice"":""7.20"",""promotion"":{""promotionCycles"":[""1"",""2"",""3"",""4"",""5"",""6""],""promotionType"":""DISCOUNT"",""discount"":{""discountType"":""PERCENTAGE"",""amount"":0.0,""rate"":10.0}}}]},""quantity"":1,""isTaxExempt"":false,""isExcluded"":false,""chargeItemId"":""1ZB0w0fT9wC-01""},{""chargeItemType"":""LATE_FEE"",""totalPrice"":5.0,""priceDetail"":{""discountPrice"":0.0,""itemPrice"":5.0,""currency"":""USD"",""prepaidAmount"":0.0},""quantity"":1,""isTaxExempt"":false,""isExcluded"":false,""chargeItemId"":""1XZPAQeQo5R-01-1ZBOzgoJmOA""}]","[{""title"":""Texas State Tax"",""rate"":0.0625,""price"":0.39},{""title"":""Houston Mta Transit"",""rate"":0.01,""price"":0.06},{""title"":""Harris Co Emergency Services District 29 Sp"",""rate"":0.01,""price"":0.06}]",,USD,"{""firstName"" : ""Tung"", ""lastName"" : ""Nguyen"", ""email"" : ""tungnt@2-b.io"", ""phone"" : ""9722614900"", ""state"" : ""Texas"", ""city"" : ""Houston"", ""address1"" : ""a1"", ""address2"" : ""a2"", ""zipcode"" : ""77069""}"
1a3sOvnXnBH,1a3sOvnXnBH,CHARGE,1XZWrswfaaP-03,1XZWrswfaaP-2025-01,6960202154169,CREDIT_CARD,2024-12-31 02:53:02.000000,65.3100,0.5100,64.8000,"[{""chargeItemType"":""RENTAL_FEE"",""totalPrice"":64.8,""priceDetail"":{""discountPrice"":7.2,""itemPrice"":72.0,""currency"":""USD"",""prepaidAmount"":0.0,""promotions"":[{""promotionId"":""1SUGW59ZHC0"",""promotionName"":""프로모션2"",""promotionDescription"":""10% Coupon discount "",""startDate"":""2023-09-20T11:13:12.646Z"",""endDate"":""2024-12-20T11:13:12.646Z"",""discountPrice"":""7.20"",""promotion"":{""promotionCycles"":[""1"",""2"",""3"",""4"",""5"",""6""],""promotionType"":""DISCOUNT"",""discount"":{""discountType"":""PERCENTAGE"",""amount"":0.0,""rate"":10.0}}}]},""quantity"":1,""isTaxExempt"":false,""isExcluded"":false,""chargeItemId"":""1ZB0x5RShUY-03""}]","[{""title"":""Texas State Tax"",""rate"":0.0625,""price"":0.39},{""title"":""Houston Mta Transit"",""rate"":0.01,""price"":0.06},{""title"":""Harris Co Emergency Services District 29 Sp"",""rate"":0.01,""price"":0.06}]",,USD,"{""firstName"" : ""Tung"", ""lastName"" : ""Nguyen"", ""email"" : ""tungnt@2-b.io"", ""phone"" : ""9722614900"", ""state"" : ""Texas"", ""city"" : ""Houston"", ""address1"" : ""a1"", ""address2"" : ""a2"", ""zipcode"" : ""77069""}"
